image,suspected_duplicate,duplicate_type,similarity_score,recommended_action
Healthy\Image_027.jpg,Healthy\Image_SetB028.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_030.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetA029.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetA030.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetB029.jpg,exact,0,remove (keep anchor)
Healthy\Image_029.jpg,Healthy\Image_SetB030.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_032.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetA031.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetA032.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetB031.jpg,exact,0,remove (keep anchor)
Healthy\Image_031.jpg,Healthy\Image_SetB032.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_034.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetA033.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetA034.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetB033.jpg,exact,0,remove (keep anchor)
Healthy\Image_033.jpg,Healthy\Image_SetB034.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_036.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetA035.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetA036.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetB035.jpg,exact,0,remove (keep anchor)
Healthy\Image_035.jpg,Healthy\Image_SetB036.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_038.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetA037.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetA038.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetB037.jpg,exact,0,remove (keep anchor)
Healthy\Image_037.jpg,Healthy\Image_SetB038.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_040.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetA039.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetA040.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetB039.jpg,exact,0,remove (keep anchor)
Healthy\Image_039.jpg,Healthy\Image_SetB040.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_042.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetA041.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetA042.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetB041.jpg,exact,0,remove (keep anchor)
Healthy\Image_041.jpg,Healthy\Image_SetB042.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_044.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetA043.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetA044.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetB043.jpg,exact,0,remove (keep anchor)
Healthy\Image_043.jpg,Healthy\Image_SetB044.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_046.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetA045.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetA046.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetB045.jpg,exact,0,remove (keep anchor)
Healthy\Image_045.jpg,Healthy\Image_SetB046.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_048.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetA047.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetA048.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetB047.jpg,exact,0,remove (keep anchor)
Healthy\Image_047.jpg,Healthy\Image_SetB048.jpg,exact,0,remove (keep anchor)
Healthy\Image_049.jpg,Healthy\Image_050.jpg,exact,0,remove (keep anchor)
Healthy\Image_049.jpg,Healthy\Image_SetA049.jpg,exact,0,remove (keep anchor)
Healthy\Image_049.jpg,Healthy\Image_SetA050.jpg,exact,0,remove (keep anchor)
Healthy\Image_049.jpg,Healthy\Image_SetB049.jpg,exact,0,remove (keep anchor)
Healthy\Image_049.jpg,Healthy\Image_SetB050.jpg,exact,0,remove (keep anchor)
Healthy\Image_051.jpg,Healthy\Image_052.jpg,exact,0,remove (keep anchor)
Healthy\Image_051.jpg,Healthy\Image_SetA051.jpg,exact,0,remove (keep anchor)
Healthy\Image_051.jpg,Healthy\Image_SetA052.jpg,exact,0,remove (keep anchor)
Healthy\Image_051.jpg,Healthy\Image_SetB051.jpg,exact,0,remove (keep anchor)
Healthy\Image_051.jpg,Healthy\Image_SetB052.jpg,exact,0,remove (keep anchor)
Healthy\Image_053.jpg,Healthy\Image_054.jpg,exact,0,remove (keep anchor)
Healthy\Image_053.jpg,Healthy\Image_SetA053.jpg,exact,0,remove (keep anchor)
Healthy\Image_053.jpg,Healthy\Image_SetA054.jpg,exact,0,remove (keep anchor)
Healthy\Image_053.jpg,Healthy\Image_SetB053.jpg,exact,0,remove (keep anchor)
Healthy\Image_053.jpg,Healthy\Image_SetB054.jpg,exact,0,remove (keep anchor)
Healthy\Image_055.jpg,Healthy\Image_056.jpg,exact,0,remove (keep anchor)
Healthy\Image_055.jpg,Healthy\Image_SetA055.jpg,exact,0,remove (keep anchor)
Healthy\Image_055.jpg,Healthy\Image_SetA056.jpg,exact,0,remove (keep anchor)
Healthy\Image_055.jpg,Healthy\Image_SetB055.jpg,exact,0,remove (keep anchor)
Healthy\Image_055.jpg,Healthy\Image_SetB056.jpg,exact,0,remove (keep anchor)
Healthy\Image_057.jpg,Healthy\Image_058.jpg,exact,0,remove (keep anchor)
Healthy\Image_057.jpg,Healthy\Image_SetA057.jpg,exact,0,remove (keep anchor)
Healthy\Image_057.jpg,Healthy\Image_SetA058.jpg,exact,0,remove (keep anchor)
Healthy\Image_057.jpg,Healthy\Image_SetB057.jpg,exact,0,remove (keep anchor)
Healthy\Image_057.jpg,Healthy\Image_SetB058.jpg,exact,0,remove (keep anchor)
Healthy\Image_059.jpg,Healthy\Image_060.jpg,exact,0,remove (keep anchor)
Healthy\Image_059.jpg,Healthy\Image_SetA059.jpg,exact,0,remove (keep anchor)
Healthy\Image_059.jpg,Healthy\Image_SetA060.jpg,exact,0,remove (keep anchor)
Healthy\Image_059.jpg,Healthy\Image_SetB059.jpg,exact,0,remove (keep anchor)
Healthy\Image_059.jpg,Healthy\Image_SetB060.jpg,exact,0,remove (keep anchor)
Healthy\Image_061.jpg,Healthy\Image_062.jpg,exact,0,remove (keep anchor)
Healthy\Image_061.jpg,Healthy\Image_SetA061.jpg,exact,0,remove (keep anchor)
Healthy\Image_061.jpg,Healthy\Image_SetA062.jpg,exact,0,remove (keep anchor)
Healthy\Image_061.jpg,Healthy\Image_SetB061.jpg,exact,0,remove (keep anchor)
Healthy\Image_061.jpg,Healthy\Image_SetB062.jpg,exact,0,remove (keep anchor)
Healthy\Image_063.jpg,Healthy\Image_064.jpg,exact,0,remove (keep anchor)
Healthy\Image_063.jpg,Healthy\Image_SetA063.jpg,exact,0,remove (keep anchor)
Healthy\Image_063.jpg,Healthy\Image_SetA064.jpg,exact,0,remove (keep anchor)
Healthy\Image_063.jpg,Healthy\Image_SetB063.jpg,exact,0,remove (keep anchor)
Healthy\Image_063.jpg,Healthy\Image_SetB064.jpg,exact,0,remove (keep anchor)
Healthy\Image_065.jpg,Healthy\Image_066.jpg,exact,0,remove (keep anchor)
Healthy\Image_065.jpg,Healthy\Image_SetA065.jpg,exact,0,remove (keep anchor)
Healthy\Image_065.jpg,Healthy\Image_SetA066.jpg,exact,0,remove (keep anchor)
Healthy\Image_065.jpg,Healthy\Image_SetB065.jpg,exact,0,remove (keep anchor)
Healthy\Image_065.jpg,Healthy\Image_SetB066.jpg,exact,0,remove (keep anchor)
Healthy\Image_067.jpg,Healthy\Image_068.jpg,exact,0,remove (keep anchor)
Healthy\Image_067.jpg,Healthy\Image_SetA067.jpg,exact,0,remove (keep anchor)
Healthy\Image_067.jpg,Healthy\Image_SetA068.jpg,exact,0,remove (keep anchor)
Healthy\Image_067.jpg,Healthy\Image_SetB067.jpg,exact,0,remove (keep anchor)
Healthy\Image_067.jpg,Healthy\Image_SetB068.jpg,exact,0,remove (keep anchor)
Healthy\Image_069.jpg,Healthy\Image_070.jpg,exact,0,remove (keep anchor)
Healthy\Image_069.jpg,Healthy\Image_SetA069.jpg,exact,0,remove (keep anchor)
Healthy\Image_069.jpg,Healthy\Image_SetA070.jpg,exact,0,remove (keep anchor)
Healthy\Image_069.jpg,Healthy\Image_SetB069.jpg,exact,0,remove (keep anchor)
Healthy\Image_069.jpg,Healthy\Image_SetB070.jpg,exact,0,remove (keep anchor)
Healthy\Image_071.jpg,Healthy\Image_072.jpg,exact,0,remove (keep anchor)
Healthy\Image_071.jpg,Healthy\Image_SetA071.jpg,exact,0,remove (keep anchor)
Healthy\Image_071.jpg,Healthy\Image_SetA072.jpg,exact,0,remove (keep anchor)
Healthy\Image_071.jpg,Healthy\Image_SetB071.jpg,exact,0,remove (keep anchor)
